ID,Name,StudyHours,Attendance,Marks,Grades,Result,PerformanceScore
1,Student_1,4.4,96,59.5,D,Pass,52.1
2,Student_2,9.6,61,60.0,C,Pass,50.0
3,Student_3,7.6,65,80.2,C,Pass,64.2
4,Student_4,6.4,73,99.6,A,Pass,78.3
5,Student_5,2.4,68,79.7,C,Pass,63.1
6,Student_6,2.4,57,73.5,C,Pass,57.6
7,Student_7,1.5,80,83.8,C,Pass,67.0
8,Student_8,8.8,70,67.9,C,Pass,56.3
9,Student_9,6.4,66,43.6,D,Pass,38.4
10,Student_10,7.4,72,73.7,C,Pass,60.3
11,Student_11,1.2,86,97.5,A,Pass,77.1
12,Student_12,9.7,65,50.5,D,Pass,43.8
13,Student_13,8.5,55,70.0,C,Pass,56.2
14,Student_14,2.9,57,52.1,D,Pass,42.8
15,Student_15,2.6,74,72.1,C,Pass,58.4
16,Student_16,2.7,67,45.8,D,Pass,39.3
17,Student_17,3.7,74,67.0,C,Pass,55.0
18,Student_18,5.7,61,85.4,B,Pass,67.0
19,Student_19,4.9,64,60.9,C,Pass,50.0
20,Student_20,3.6,75,79.9,C,Pass,64.2
21,Student_21,6.5,90,87.7,B,Pass,71.7
22,Student_22,2.3,94,95.6,A,Pass,76.8
23,Student_23,3.6,75,70.0,C,Pass,57.2
24,Student_24,4.3,96,64.0,C,Pass,55.3
25,Student_25,5.1,81,49.1,D,Pass,43.5
26,Student_26,8.1,59,99.5,A,Pass,77.2
27,Student_27,2.8,65,95.6,A,Pass,74.0
28,Student_28,5.6,56,72.4,C,Pass,57.4
29,Student_29,6.3,66,90.5,A,Pass,71.2
30,Student_30,1.4,72,71.3,C,Pass,57.4
31,Student_31,6.5,75,77.4,C,Pass,63.0
32,Student_32,2.5,70,45.3,D,Pass,39.2
33,Student_33,1.6,71,85.3,B,Pass,67.1
34,Student_34,9.5,56,47.7,D,Pass,40.9
35,Student_35,9.7,63,89.6,B,Pass,71.0
36,Student_36,8.3,64,86.9,B,Pass,68.9
37,Student_37,3.7,56,82.5,C,Pass,64.1
38,Student_38,1.9,58,42.2,D,Pass,35.7
39,Student_39,7.2,100,58.2,D,Pass,52.2
40,Student_40,5.0,97,55.8,D,Pass,49.8
41,Student_41,2.1,57,61.6,C,Pass,49.2
42,Student_42,5.5,99,45.3,D,Pass,42.7
43,Student_43,1.3,72,96.2,A,Pass,74.8
44,Student_44,9.2,78,73.2,C,Pass,60.9
45,Student_45,3.3,67,58.3,D,Pass,48.2
46,Student_46,7.0,80,63.8,C,Pass,54.1
47,Student_47,3.8,79,66.8,C,Pass,55.4
48,Student_48,5.7,88,76.0,C,Pass,63.1
49,Student_49,5.9,84,70.9,C,Pass,59.2
50,Student_50,2.7,67,95.2,A,Pass,73.9
51,Student_51,9.7,91,69.8,C,Pass,59.9
52,Student_52,8.0,88,99.5,A,Pass,80.0
