ID,Name,StudyHours,Attendance,Marks,Grades,Result,PerformanceScore
2,Student_2,9.6,61,60.0,C,Pass,50.0
3,Student_3,7.6,65,80.2,C,Pass,64.2
4,Student_4,6.4,73,99.6,A,Pass,78.3
5,Student_5,2.4,68,79.7,C,Pass,63.1
6,Student_6,2.4,57,73.5,C,Pass,57.6
8,Student_8,8.8,70,67.9,C,Pass,56.3
9,Student_9,6.4,66,43.6,D,Pass,38.4
10,Student_10,7.4,72,73.7,C,Pass,60.3
12,Student_12,9.7,65,50.5,D,Pass,43.8
13,Student_13,8.5,55,70.0,C,Pass,56.2
14,Student_14,2.9,57,52.1,D,Pass,42.8
15,Student_15,2.6,74,72.1,C,Pass,58.4
16,Student_16,2.7,67,45.8,D,Pass,39.3
17,Student_17,3.7,74,67.0,C,Pass,55.0
18,Student_18,5.7,61,85.4,B,Pass,67.0
19,Student_19,4.9,64,60.9,C,Pass,50.0
26,Student_26,8.1,59,99.5,A,Pass,77.2
27,Student_27,2.8,65,95.6,A,Pass,74.0
28,Student_28,5.6,56,72.4,C,Pass,57.4
29,Student_29,6.3,66,90.5,A,Pass,71.2
30,Student_30,1.4,72,71.3,C,Pass,57.4
32,Student_32,2.5,70,45.3,D,Pass,39.2
33,Student_33,1.6,71,85.3,B,Pass,67.1
34,Student_34,9.5,56,47.7,D,Pass,40.9
35,Student_35,9.7,63,89.6,B,Pass,71.0
36,Student_36,8.3,64,86.9,B,Pass,68.9
37,Student_37,3.7,56,82.5,C,Pass,64.1
38,Student_38,1.9,58,42.2,D,Pass,35.7
41,Student_41,2.1,57,61.6,C,Pass,49.2
43,Student_43,1.3,72,96.2,A,Pass,74.8
45,Student_45,3.3,67,58.3,D,Pass,48.2
50,Student_50,2.7,67,95.2,A,Pass,73.9
53,Student_53,9.5,66,91.1,A,Pass,72.3
54,Student_54,9.1,63,52.5,D,Pass,44.9
56,Student_56,9.3,73,47.0,D,Pass,42.1
61,Student_61,4.5,52,88.4,B,Pass,68.0
66,Student_66,5.9,72,50.4,D,Pass,43.7
69,Student_69,1.7,64,98.5,A,Pass,75.7
71,Student_71,8.0,53,89.3,B,Pass,69.4
73,Student_73,1.0,71,91.7,A,Pass,71.5
74,Student_74,8.3,74,95.4,A,Pass,75.8
75,Student_75,7.4,62,69.2,C,Pass,56.1
76,Student_76,7.6,67,76.4,C,Pass,61.7
78,Student_78,1.7,65,50.5,D,Pass,42.2
82,Student_82,6.6,51,62.1,C,Pass,49.9
87,Student_87,7.6,62,73.0,C,Pass,58.8
88,Student_88,6.7,62,97.9,A,Pass,76.1
89,Student_89,9.0,67,65.9,C,Pass,54.6
99,Student_99,1.2,65,43.7,D,Pass,37.3
102,Student_102,6.7,59,43.5,D,Pass,37.7
104,Student_104,5.6,74,43.5,D,Pass,39.0
106,Student_106,3.2,69,99.0,A,Pass,76.8
107,Student_107,4.7,54,54.4,D,Pass,44.4
108,Student_108,7.8,50,48.5,D,Pass,40.5
111,Student_111,3.6,52,46.1,D,Pass,38.2
113,Student_113,9.4,63,43.7,D,Pass,38.8
116,Student_116,8.8,53,88.8,B,Pass,69.2
117,Student_117,8.2,67,76.9,C,Pass,62.2
119,Student_119,9.0,74,77.4,C,Pass,63.4
121,Student_121,8.3,50,65.6,C,Pass,52.6
123,Student_123,3.9,64,93.2,A,Pass,72.4
124,Student_124,2.0,58,67.0,C,Pass,53.1
125,Student_125,3.1,64,51.7,D,Pass,43.2
127,Student_127,8.4,73,64.8,C,Pass,54.3
128,Student_128,8.7,53,89.7,B,Pass,69.8
129,Student_129,1.1,61,84.0,C,Pass,65.1
133,Student_133,2.1,55,68.9,C,Pass,54.2
136,Student_136,3.9,73,85.6,B,Pass,68.0
137,Student_137,5.7,60,70.0,C,Pass,56.1
138,Student_138,7.3,62,72.1,C,Pass,58.1
140,Student_140,9.7,74,40.7,D,Pass,37.8
141,Student_141,9.7,56,70.0,C,Pass,56.5
142,Student_142,3.3,53,98.6,A,Pass,75.0
143,Student_143,5.5,57,88.1,B,Pass,68.5
144,Student_144,3.7,69,97.6,A,Pass,76.0
149,Student_149,1.5,59,90.7,A,Pass,69.7
155,Student_155,9.9,52,68.6,C,Pass,55.2
156,Student_156,3.2,55,62.6,C,Pass,50.0
157,Student_157,7.0,54,70.0,C,Pass,55.8
158,Student_158,7.9,54,67.6,C,Pass,54.3
160,Student_160,7.6,72,93.5,A,Pass,74.2
162,Student_162,6.7,58,87.2,B,Pass,68.2
164,Student_164,5.8,69,81.3,C,Pass,65.0
169,Student_169,1.4,67,94.1,A,Pass,72.8
170,Student_170,6.3,66,67.7,C,Pass,55.2
171,Student_171,7.1,73,78.2,C,Pass,63.5
172,Student_172,1.1,52,79.6,C,Pass,61.1
