ID,Name,StudyHours,Attendance,Marks,Grades,Result,PerformanceScore
2,Student_2,9.6,61,60.0,C,Pass,50.0
8,Student_8,8.8,70,67.9,C,Pass,56.3
12,Student_12,9.7,65,50.5,D,Pass,43.8
13,Student_13,8.5,55,70.0,C,Pass,56.2
26,Student_26,8.1,59,99.5,A,Pass,77.2
34,Student_34,9.5,56,47.7,D,Pass,40.9
35,Student_35,9.7,63,89.6,B,Pass,71.0
36,Student_36,8.3,64,86.9,B,Pass,68.9
44,Student_44,9.2,78,73.2,C,Pass,60.9
51,Student_51,9.7,91,69.8,C,Pass,59.9
53,Student_53,9.5,66,91.1,A,Pass,72.3
54,Student_54,9.1,63,52.5,D,Pass,44.9
56,Student_56,9.3,73,47.0,D,Pass,42.1
63,Student_63,8.5,92,58.3,D,Pass,51.7
68,Student_68,8.2,88,60.8,C,Pass,53.0
70,Student_70,9.9,98,78.5,C,Pass,66.7
74,Student_74,8.3,74,95.4,A,Pass,75.8
81,Student_81,8.8,93,48.8,D,Pass,45.2
89,Student_89,9.0,67,65.9,C,Pass,54.6
105,Student_105,9.2,88,81.7,C,Pass,67.8
113,Student_113,9.4,63,43.7,D,Pass,38.8
114,Student_114,8.3,79,70.6,C,Pass,59.0
116,Student_116,8.8,53,88.8,B,Pass,69.2
117,Student_117,8.2,67,76.9,C,Pass,62.2
119,Student_119,9.0,74,77.4,C,Pass,63.4
121,Student_121,8.3,50,65.6,C,Pass,52.6
122,Student_122,9.1,95,47.8,D,Pass,44.8
127,Student_127,8.4,73,64.8,C,Pass,54.3
128,Student_128,8.7,53,89.7,B,Pass,69.8
135,Student_135,9.5,95,55.6,D,Pass,50.3
140,Student_140,9.7,74,40.7,D,Pass,37.8
141,Student_141,9.7,56,70.0,C,Pass,56.5
151,Student_151,9.2,83,69.3,C,Pass,58.6
155,Student_155,9.9,52,68.6,C,Pass,55.2
166,Student_166,8.5,91,55.3,D,Pass,49.5
179,Student_179,9.4,58,84.2,C,Pass,66.6
183,Student_183,9.3,83,45.1,D,Pass,41.7
184,Student_184,8.9,60,83.0,C,Pass,65.9
187,Student_187,8.4,77,40.7,D,Pass,37.9
192,Student_192,9.1,83,61.0,C,Pass,52.8
